2024-04-22 22:21:54 Размерность обучающей выборки: (8000, 4)
2024-04-22 22:21:54 Размерность тестовой выборки: (2000, 4)
2024-04-22 22:21:55 Количество правил: -  3125
2024-04-22 22:26:56 
2024-04-22 22:26:56 Mean Squared Error (MSE): 0.061530798198548724
2024-04-22 22:26:56 start gradient descent
2024-04-23 03:18:03 Эпоха 120, ошибка: 0.07781271601448278, скорость обучения: 0.015009463529699923
2024-04-23 03:20:26 Эпоха 121, ошибка: 0.07784169742551726, скорость обучения: 0.015009463529699923
2024-04-23 03:22:50 Эпоха 122, ошибка: 0.07786127390232818, скорость обучения: 0.013508517176729932
2024-04-23 03:25:16 Эпоха 123, ошибка: 0.07745455622003843, скорость обучения: 0.013508517176729932
2024-04-23 03:27:40 Эпоха 124, ошибка: 0.07753507902725804, скорость обучения: 0.013508517176729932
2024-04-23 03:30:02 Эпоха 125, ошибка: 0.07759160294764497, скорость обучения: 0.013508517176729932
2024-04-23 03:32:28 Эпоха 126, ошибка: 0.0776313114930831, скорость обучения: 0.013508517176729932
2024-04-23 03:34:52 Эпоха 127, ошибка: 0.07765922238996996, скорость обучения: 0.013508517176729932
2024-04-23 03:37:13 Эпоха 128, ошибка: 0.07767884836214871, скорость обучения: 0.01215766545905694
2024-04-23 03:39:38 Эпоха 129, ошибка: 0.07731757313800519, скорость обучения: 0.01215766545905694
2024-04-23 03:42:01 Эпоха 130, ошибка: 0.07738637683041942, скорость обучения: 0.01215766545905694
2024-04-23 03:44:26 Эпоха 131, ошибка: 0.07743645783282425, скорость обучения: 0.01215766545905694
2024-04-23 03:46:51 Эпоха 132, ошибка: 0.07747293386869968, скорость обучения: 0.01215766545905694
2024-04-23 03:49:16 Эпоха 133, ошибка: 0.07749951304880931, скорость обучения: 0.01215766545905694
2024-04-23 03:51:44 Эпоха 134, ошибка: 0.07751888711985216, скорость обучения: 0.010941898913151246
2024-04-23 03:54:11 Эпоха 135, ошибка: 0.07719764620422886, скорость обучения: 0.010941898913151246
2024-04-23 03:56:36 Эпоха 136, ошибка: 0.07725657550797613, скорость обучения: 0.010941898913151246
2024-04-23 03:59:10 Эпоха 137, ошибка: 0.0773008850199998, скорость обучения: 0.010941898913151246
2024-04-23 04:01:39 Эпоха 138, ошибка: 0.07733421868755565, скорость обучения: 0.010941898913151246
2024-04-23 04:04:09 Эпоха 139, ошибка: 0.07735930490629266, скорость обучения: 0.010941898913151246
2024-04-23 04:06:38 Эпоха 140, ошибка: 0.07737818970142255, скорость обучения: 0.009847709021836121
2024-04-23 04:09:01 Эпоха 141, ошибка: 0.07709227792075886, скорость обучения: 0.009847709021836121
2024-04-23 04:11:29 Эпоха 142, ошибка: 0.07714288548783178, скорость обучения: 0.009847709021836121
2024-04-23 04:13:54 Эпоха 143, ошибка: 0.07718206133928841, скорость обучения: 0.009847709021836121
2024-04-23 04:16:18 Эпоха 144, ошибка: 0.07721240018417531, скорость обучения: 0.009847709021836121
2024-04-23 04:18:44 Эпоха 145, ошибка: 0.07723590285564472, скорость обучения: 0.009847709021836121
2024-04-23 04:21:08 Эпоха 146, ошибка: 0.07725411420097712, скорость обучения: 0.00886293811965251
2024-04-23 04:23:33 Эпоха 147, ошибка: 0.07699942281038333, скорость обучения: 0.00886293811965251
2024-04-23 04:26:01 Эпоха 148, ошибка: 0.07704300744213238, скорость обучения: 0.00886293811965251
2024-04-23 04:28:25 Эпоха 149, ошибка: 0.0770776383133086, скорость обучения: 0.00886293811965251
2024-04-23 04:30:49 Эпоха 150, ошибка: 0.07710516388961296, скорость обучения: 0.00886293811965251
2024-04-23 04:33:17 Эпоха 151, ошибка: 0.07712704770612272, скорость обучения: 0.00886293811965251
2024-04-23 04:35:40 Эпоха 152, ошибка: 0.07714444974198416, скорость обучения: 0.007976644307687259
2024-04-23 04:38:05 Эпоха 153, ошибка: 0.07691738300514377, скорость обучения: 0.007976644307687259
2024-04-23 04:40:30 Эпоха 154, ошибка: 0.0769550285334485, скорость обучения: 0.007976644307687259
2024-04-23 04:42:57 Эпоха 155, ошибка: 0.07698564813882988, скорость обучения: 0.007976644307687259
2024-04-23 04:45:23 Эпоха 156, ошибка: 0.07701055969197955, скорость обучения: 0.007976644307687259
2024-04-23 04:47:48 Эпоха 157, ошибка: 0.07703083164494118, скорость обучения: 0.007976644307687259
2024-04-23 04:50:13 Эпоха 158, ошибка: 0.07704733098246982, скорость обучения: 0.007178979876918534
2024-04-23 04:52:39 Эпоха 159, ошибка: 0.07684473654347872, скорость обучения: 0.007178979876918534
2024-04-23 04:55:04 Эпоха 160, ошибка: 0.07687734674529587, скорость обучения: 0.007178979876918534
2024-04-23 04:57:28 Эпоха 161, ошибка: 0.0769044329986487, скорость обучения: 0.007178979876918534
2024-04-23 04:59:57 Эпоха 162, ошибка: 0.0769269358164326, скорость обучения: 0.007178979876918534
2024-04-23 05:02:21 Эпоха 163, ошибка: 0.07694563409875954, скорость обучения: 0.007178979876918534
2024-04-23 05:04:45 Эпоха 164, ошибка: 0.07696117335969428, скорость обучения: 0.006461081889226681
2024-04-23 05:07:12 Эпоха 165, ошибка: 0.07678028320322751, скорость обучения: 0.006461081889226681
2024-04-23 05:09:36 Эпоха 166, ошибка: 0.0768086120499222, скорость обучения: 0.006461081889226681
2024-04-23 05:12:03 Эпоха 167, ошибка: 0.07683258917364301, скорость обучения: 0.006461081889226681
2024-04-23 05:14:27 Эпоха 168, ошибка: 0.0768528865397604, скорость обучения: 0.006461081889226681
2024-04-23 05:16:53 Эпоха 169, ошибка: 0.07687007137041116, скорость обучения: 0.006461081889226681
2024-04-23 05:19:20 Эпоха 170, ошибка: 0.0768846227485229, скорость обучения: 0.005814973700304013
2024-04-23 05:21:45 Эпоха 171, ошибка: 0.07672300275583402, скорость обучения: 0.005814973700304013
2024-04-23 05:24:11 Эпоха 172, ошибка: 0.0767476800936753, скорость обучения: 0.005814973700304013
2024-04-23 05:26:42 Эпоха 173, ошибка: 0.076768922370172, скорость обучения: 0.005814973700304013
2024-04-23 05:29:07 Эпоха 174, ошибка: 0.07678721026270854, скорость обучения: 0.005814973700304013
2024-04-23 05:31:31 Эпоха 175, ошибка: 0.0768029565356215, скорость обучения: 0.005814973700304013
2024-04-23 05:33:59 Эпоха 176, ошибка: 0.07681651580290082, скорость обучения: 0.005233476330273611
2024-04-23 05:36:24 Эпоха 177, ошибка: 0.0766720224524404, скорость обучения: 0.005233476330273611
2024-04-23 05:38:50 Эпоха 178, ошибка: 0.0766935755096917, скорость обучения: 0.005233476330273611
2024-04-23 05:41:14 Эпоха 179, ошибка: 0.07671241181313876, скорость обучения: 0.005233476330273611
2024-04-23 05:43:39 Эпоха 180, ошибка: 0.07672887563377313, скорость обучения: 0.005233476330273611
2024-04-23 05:46:07 Эпоха 181, ошибка: 0.07674326718623611, скорость обучения: 0.005233476330273611
2024-04-23 05:48:30 Эпоха 182, ошибка: 0.07675584836765578, скорость обучения: 0.00471012869724625
2024-04-23 05:50:56 Эпоха 183, ошибка: 0.07662659145685304, скорость обучения: 0.00471012869724625
2024-04-23 05:53:23 Эпоха 184, ошибка: 0.07664546268914703, скорость обучения: 0.00471012869724625
2024-04-23 05:55:47 Эпоха 185, ошибка: 0.07666218124613909, скорость обучения: 0.00471012869724625
2024-04-23 05:58:12 Эпоха 186, ошибка: 0.07667699400895267, скорость обучения: 0.00471012869724625
2024-04-23 06:00:40 Эпоха 187, ошибка: 0.07669011926141214, скорость обучения: 0.00471012869724625
2024-04-23 06:03:05 Эпоха 188, ошибка: 0.07670175006332125, скорость обучения: 0.004239115827521626
2024-04-23 06:05:29 Эпоха 189, ошибка: 0.07658606054764856, скорость обучения: 0.004239115827521626
2024-04-23 06:07:57 Эпоха 190, ошибка: 0.07660262235416815, скорость обучения: 0.004239115827521626
2024-04-23 06:10:22 Эпоха 191, ошибка: 0.07661747539822542, скорость обучения: 0.004239115827521626
2024-04-23 06:12:50 Эпоха 192, ошибка: 0.07663079693793795, скорость обучения: 0.004239115827521626
2024-04-23 06:15:13 Эпоха 193, ошибка: 0.07664274565683149, скорость обучения: 0.004239115827521626
2024-04-23 06:17:35 Эпоха 194, ошибка: 0.07665346364655798, скорость обучения: 0.0038152042447694634
2024-04-23 06:20:02 Эпоха 195, ошибка: 0.07654986585016818, скорость обучения: 0.0038152042447694634
2024-04-23 06:22:26 Эпоха 196, ошибка: 0.07656443266253327, скорость обучения: 0.0038152042447694634
2024-04-23 06:24:51 Эпоха 197, ошибка: 0.07657764079387265, скорость обучения: 0.0038152042447694634
2024-04-23 06:27:18 Эпоха 198, ошибка: 0.07658961766426502, скорость обучения: 0.0038152042447694634
2024-04-23 06:29:44 Эпоха 199, ошибка: 0.07660047862112479, скорость обучения: 0.0038152042447694634
2024-04-23 06:32:10 Эпоха 200, ошибка: 0.07661032810480305, скорость обучения: 0.003433683820292517
2024-04-23 06:34:36 Эпоха 201, ошибка: 0.07651751567592543, скорость обучения: 0.003433683820292517
2024-04-23 06:37:00 Эпоха 202, ошибка: 0.0765303538683596, скорость обучения: 0.003433683820292517
2024-04-23 06:39:26 Эпоха 203, ошибка: 0.07654211002641641, скорость обучения: 0.003433683820292517
2024-04-23 06:41:55 Эпоха 204, ошибка: 0.07655287584820324, скорость обучения: 0.003433683820292517
2024-04-23 06:44:20 Эпоха 205, ошибка: 0.0765627351798977, скорость обучения: 0.003433683820292517
2024-04-23 06:46:48 Эпоха 206, ошибка: 0.0765717647011692, скорость обучения: 0.0030903154382632653
2024-04-23 06:49:12 Эпоха 207, ошибка: 0.07648857978074916, скорость обучения: 0.0030903154382632653
2024-04-23 06:51:36 Эпоха 208, ошибка: 0.0764999157882632, скорость обучения: 0.0030903154382632653
2024-04-23 06:54:04 Эпоха 209, ошибка: 0.07651038880453856, скорость обучения: 0.0030903154382632653
2024-04-23 06:56:28 Эпоха 210, ошибка: 0.07652006489096372, скорость обучения: 0.0030903154382632653
2024-04-23 06:58:52 Эпоха 211, ошибка: 0.0765290049987877, скорость обучения: 0.0030903154382632653
2024-04-23 07:01:21 Эпоха 212, ошибка: 0.07653726537228854, скорость обучения: 0.002781283894436939
2024-04-23 07:03:47 Эпоха 213, ошибка: 0.0764626805223736, скорость обучения: 0.002781283894436939
2024-04-23 07:06:12 Эпоха 214, ошибка: 0.07647270749330153, скорость обучения: 0.002781283894436939
2024-04-23 07:08:41 Эпоха 215, ошибка: 0.07648204522867585, скорость обучения: 0.002781283894436939
2024-04-23 07:11:07 Эпоха 216, ошибка: 0.07649074136850775, скорость обучения: 0.002781283894436939
2024-04-23 07:13:37 Эпоха 217, ошибка: 0.07649884022500571, скорость обучения: 0.002781283894436939
2024-04-23 07:16:03 Эпоха 218, ошибка: 0.07650638301966532, скорость обучения: 0.002503155504993245
2024-04-23 07:18:30 Эпоха 219, ошибка: 0.0764394855238814, скорость обучения: 0.002503155504993245
2024-04-23 07:21:01 Эпоха 220, ошибка: 0.07644836877755976, скорость обучения: 0.002503155504993245
2024-04-23 07:23:29 Эпоха 221, ошибка: 0.07645670086817624, скорость обучения: 0.002503155504993245
2024-04-23 07:26:00 Эпоха 222, ошибка: 0.07646451618354287, скорость обучения: 0.002503155504993245
2024-04-23 07:28:33 Эпоха 223, ошибка: 0.07647184694299802, скорость обучения: 0.002503155504993245
2024-04-23 07:31:02 Эпоха 224, ошибка: 0.07647872333696536, скорость обучения: 0.0022528399544939205
2024-04-23 07:33:30 Эпоха 225, ошибка: 0.0764187015412987, скорость обучения: 0.0022528399544939205
2024-04-23 07:36:03 Эпоха 226, ошибка: 0.07642658305348923, скорость обучения: 0.0022528399544939205
2024-04-23 07:38:29 Эпоха 227, ошибка: 0.076434023299738, скорость обучения: 0.0022528399544939205
2024-04-23 07:41:01 Эпоха 228, ошибка: 0.07644104712371659, скорость обучения: 0.0022528399544939205
2024-04-23 07:43:33 Эпоха 229, ошибка: 0.07644767795533058, скорость обучения: 0.0022528399544939205
2024-04-23 07:46:03 Эпоха 230, ошибка: 0.07645393789279782, скорость обучения: 0.0020275559590445286
2024-04-23 07:48:37 Эпоха 231, ошибка: 0.07640006930269763, скорость обучения: 0.0020275559590445286
2024-04-23 07:51:04 Эпоха 232, ошибка: 0.07640707140051584, скорость обучения: 0.0020275559590445286
2024-04-23 07:53:33 Эпоха 233, ошибка: 0.0764137198371369, скорость обучения: 0.0020275559590445286
2024-04-23 07:56:10 Эпоха 234, ошибка: 0.07642003257554411, скорость обучения: 0.0020275559590445286
2024-04-23 07:58:39 Эпоха 235, ошибка: 0.07642602665649154, скорость обучения: 0.0020275559590445286
2024-04-23 08:01:12 Эпоха 236, ошибка: 0.07643171824680112, скорость обучения: 0.0018248003631400759
2024-04-23 08:03:43 Эпоха 237, ошибка: 0.07638335913801853, скорость обучения: 0.0018248003631400759
2024-04-23 08:06:10 Эпоха 238, ошибка: 0.07638958755153297, скорость обучения: 0.0018248003631400759
2024-04-23 08:08:43 Эпоха 239, ошибка: 0.07639553223710316, скорость обучения: 0.0018248003631400759
2024-04-23 08:11:17 Эпоха 240, ошибка: 0.07640120619237334, скорость обучения: 0.0018248003631400759
