Эпоха 113, ошибка: 0.006075813018724823, скорость обучения: 0.013508517176729932
Эпоха 114, ошибка: 0.006078001980358125, скорость обучения: 0.01215766545905694
Эпоха 115, ошибка: 0.006080024140031685, скорость обучения: 0.010941898913151246
Эпоха 116, ошибка: 0.00608188595242804, скорость обучения: 0.009847709021836121
Эпоха 117, ошибка: 0.006083595263557332, скорость обучения: 0.00886293811965251
Эпоха 118, ошибка: 0.006085160757335091, скорость обучения: 0.007976644307687259
Эпоха 119, ошибка: 0.006086591544273546, скорость обучения: 0.007178979876918534
Эпоха 120, ошибка: 0.006087896859167664, скорость обучения: 0.006461081889226681
Эпоха 121, ошибка: 0.006089085842304146, скорость обучения: 0.005814973700304013
Эпоха 122, ошибка: 0.006090167384546303, скорость обучения: 0.005233476330273611
Эпоха 123, ошибка: 0.006091150021111366, скорость обучения: 0.00471012869724625
Эпоха 124, ошибка: 0.006092041862288252, скорость обучения: 0.004239115827521626
Эпоха 125, ошибка: 0.006092850551997731, скорость обучения: 0.0038152042447694634
Эпоха 126, ошибка: 0.0060935832471515185, скорость обучения: 0.003433683820292517
Эпоха 127, ошибка: 0.006094246612363186, скорость обучения: 0.0030903154382632653
Эпоха 128, ошибка: 0.006094846825807741, скорость обучения: 0.002781283894436939
Эпоха 129, ошибка: 0.0060953895929946045, скорость обучения: 0.002503155504993245
Эпоха 130, ошибка: 0.006095880165974731, скорость обучения: 0.0022528399544939205
Эпоха 131, ошибка: 0.006096323366092107, скорость обучения: 0.0020275559590445286
Эпоха 132, ошибка: 0.006096723608849148, скорость обучения: 0.0018248003631400759
Эпоха 133, ошибка: 0.006097084929814117, скорость обучения: 0.0016423203268260682
Эпоха 134, ошибка: 0.006097411010776304, скорость обучения: 0.0014780882941434613
Эпоха 135, ошибка: 0.00609770520557117, скорость обучения: 0.0013302794647291152
Эпоха 136, ошибка: 0.0060979705651641875, скорость обучения: 0.0011972515182562037
Эпоха 137, ошибка: 0.006098209861710389, скорость обучения: 0.0010775263664305832
Эпоха 138, ошибка: 0.006098425611404794, скорость обучения: 0.000969773729787525
Эпоха 139, ошибка: 0.006098620096013592, скорость обучения: 0.0008727963568087724
Эпоха 140, ошибка: 0.0060987953830318, скорость обучения: 0.0007855167211278952
Эпоха 141, ошибка: 0.006098953344454442, скорость обучения: 0.0007069650490151057
Эпоха 142, ошибка: 0.0060990956741790205, скорость обучения: 0.0006362685441135952
Эпоха 143, ошибка: 0.006099223904078688, скорость обучения: 0.0005726416897022357
Эпоха 144, ошибка: 0.006099339418799832, скорость обучения: 0.0005153775207320121
Эпоха 145, ошибка: 0.0060994434693483635, скорость обучения: 0.00046383976865881093
Эпоха 146, ошибка: 0.006099537185534501, скорость обучения: 0.00041745579179292984
Эпоха 147, ошибка: 0.006099621587348189, скорость обучения: 0.00037571021261363684
Эпоха 148, ошибка: 0.0060996975953391906, скорость обучения: 0.00033813919135227316
Эпоха 149, ошибка: 0.006099766040073833, скорость обучения: 0.00030432527221704587
Эпоха 150, ошибка: 0.006099827670738978, скорость обучения: 0.00027389274499534127
Эпоха 151, ошибка: 0.006099883162960634, скорость обучения: 0.00024650347049580716
Эпоха 152, ошибка: 0.006099933125901822, скорость обучения: 0.00022185312344622646
Эпоха 153, ошибка: 0.006099978108699401, скорость обучения: 0.00019966781110160382
Эпоха 154, ошибка: 0.006100018606297568, скорость обучения: 0.00017970102999144343
Эпоха 155, ошибка: 0.006100055064729815, скорость обучения: 0.0001617309269922991
Эпоха 156, ошибка: 0.006100087885899021, скорость обучения: 0.0001455578342930692
Эпоха 157, ошибка: 0.0061001174319007066, скорость обучения: 0.00013100205086376228
Эпоха 158, ошибка: 0.006100144028930707, скорость обучения: 0.00011790184577738606
Эпоха 159, ошибка: 0.0061001679708165115, скорость обучения: 0.00010611166119964746
Скорость обучения слишком мала. Прекращение обучения.
