–азмерность обучающей выборки: (8000, 4)
–азмерность тестовой выборки: (2000, 4)
 оличество правил: -  243
Mean Squared Error (MSE): 0.12560472168116257
start gradient descent
Ёпоха 129, ошибка: 0.005385430743462694, скорость обучени€: 0.03874204890000002
Ёпоха 130, ошибка: 0.005376648117942863, скорость обучени€: 0.03874204890000002
Ёпоха 131, ошибка: 0.005370966623393429, скорость обучени€: 0.03874204890000002
Ёпоха 132, ошибка: 0.005367326254462993, скорость обучени€: 0.03874204890000002
Ёпоха 133, ошибка: 0.005365030318808649, скорость обучени€: 0.03874204890000002
Ёпоха 134, ошибка: 0.005363620308399104, скорость обучени€: 0.03874204890000002
Ёпоха 135, ошибка: 0.0053627941907017146, скорость обучени€: 0.03874204890000002
Ёпоха 136, ошибка: 0.005362352874081605, скорость обучени€: 0.03874204890000002
Ёпоха 137, ошибка: 0.005362165053341269, скорость обучени€: 0.03874204890000002
Ёпоха 138, ошибка: 0.005362144089818317, скорость обучени€: 0.03874204890000002
Ёпоха 139, ошибка: 0.005362232790631424, скорость обучени€: 0.03874204890000002
Ёпоха 140, ошибка: 0.005362393381290084, скорость обучени€: 0.03874204890000002
Ёпоха 141, ошибка: 0.005362600896543469, скорость обучени€: 0.03874204890000002
Ёпоха 142, ошибка: 0.005362838822778846, скорость обучени€: 0.03874204890000002
Ёпоха 143, ошибка: 0.005363096224254387, скорость обучени€: 0.03486784401000002
Ёпоха 144, ошибка: 0.0053546267075593, скорость обучени€: 0.03486784401000002
Ёпоха 145, ошибка: 0.00534730876424937, скорость обучени€: 0.03486784401000002
Ёпоха 146, ошибка: 0.005342347048648673, скорость обучени€: 0.03486784401000002
Ёпоха 147, ошибка: 0.0053390068797735234, скорость обучени€: 0.03486784401000002
Ёпоха 148, ошибка: 0.0053367831393673765, скорость обучени€: 0.03486784401000002
Ёпоха 149, ошибка: 0.005335328184744711, скорость обучени€: 0.03486784401000002
Ёпоха 150, ошибка: 0.005334402580886691, скорость обучени€: 0.03486784401000002
Ёпоха 151, ошибка: 0.005333841334433693, скорость обучени€: 0.03486784401000002
Ёпоха 152, ошибка: 0.005333530706721858, скорость обучени€: 0.03486784401000002
Ёпоха 153, ошибка: 0.0053333922696055195, скорость обучени€: 0.03486784401000002
Ёпоха 154, ошибка: 0.005333371931198808, скорость обучени€: 0.03486784401000002
Ёпоха 155, ошибка: 0.005333432377323763, скорость обучени€: 0.03486784401000002
Ёпоха 156, ошибка: 0.005333547863095429, скорость обучени€: 0.03486784401000002
Ёпоха 157, ошибка: 0.005333700622746857, скорость обучени€: 0.03486784401000002
Ёпоха 158, ошибка: 0.005333878394327468, скорость обучени€: 0.03486784401000002
Ёпоха 159, ошибка: 0.005334072712783714, скорость обучени€: 0.03138105960900001
Ёпоха 160, ошибка: 0.005327741644320306, скорость обучени€: 0.03138105960900001
Ёпоха 161, ошибка: 0.005321631925315291, скорость обучени€: 0.03138105960900001
