Размерность обучающей выборки: (8000, 4)
Размерность тестовой выборки: (2000, 4)
Количество правил: -  243
Mean Squared Error (MSE): 0.052125061630963726
start gradient descent
Эпоха 167, ошибка: 0.004157248830611481, скорость обучения: 0.03874204890000002
Эпоха 168, ошибка: 0.004157247103588627, скорость обучения: 0.03874204890000002
Эпоха 169, ошибка: 0.00415724670956063, скорость обучения: 0.03874204890000002
Эпоха 170, ошибка: 0.004157246619661478, скорость обучения: 0.03874204890000002
Эпоха 171, ошибка: 0.0041572465991509275, скорость обучения: 0.03874204890000002
Эпоха 172, ошибка: 0.004157246594471198, скорость обучения: 0.03874204890000002
Эпоха 173, ошибка: 0.0041572465934031, скорость обучения: 0.03874204890000002
Эпоха 174, ошибка: 0.004157246593159256, скорость обучения: 0.03874204890000002
Эпоха 175, ошибка: 0.004157246593103977, скорость обучения: 0.03874204890000002
Эпоха 176, ошибка: 0.004157246593091478, скорость обучения: 0.03874204890000002
Эпоха 177, ошибка: 0.004157246593088836, скорость обучения: 0.03874204890000002
Эпоха 178, ошибка: 0.004157246593088309, скорость обучения: 0.03874204890000002
Эпоха 179, ошибка: 0.004157246593088157, скорость обучения: 0.03874204890000002
Эпоха 180, ошибка: 0.004157246593088144, скорость обучения: 0.03874204890000002
Эпоха 181, ошибка: 0.004157246593088177, скорость обучения: 0.03874204890000002
Эпоха 182, ошибка: 0.004157246593088177, скорость обучения: 0.03874204890000002
Эпоха 183, ошибка: 0.004157246593088157, скорость обучения: 0.03874204890000002
Эпоха 184, ошибка: 0.004157246593088144, скорость обучения: 0.03874204890000002
Эпоха 185, ошибка: 0.004157246593088177, скорость обучения: 0.03486784401000002
Эпоха 186, ошибка: 0.004137770622090181, скорость обучения: 0.03486784401000002
Эпоха 187, ошибка: 0.004086531135727767, скорость обучения: 0.03486784401000002
Эпоха 188, ошибка: 0.004072300320596043, скорость обучения: 0.03486784401000002
Эпоха 189, ошибка: 0.004068332020662896, скорость обучения: 0.03486784401000002
Эпоха 190, ошибка: 0.004067224198232599, скорость обучения: 0.03486784401000002
Эпоха 191, ошибка: 0.00406691483185256, скорость обучения: 0.03486784401000002
Эпоха 192, ошибка: 0.00406682843171437, скорость обучения: 0.03486784401000002
Эпоха 193, ошибка: 0.004066804301206329, скорость обучения: 0.03486784401000002
Эпоха 194, ошибка: 0.004066797561801624, скорость обучения: 0.03486784401000002
Эпоха 195, ошибка: 0.0040667956795517966, скорость обучения: 0.03486784401000002
Эпоха 196, ошибка: 0.00406679515385713, скорость обучения: 0.03486784401000002
Эпоха 197, ошибка: 0.004066795007035698, скорость обучения: 0.03486784401000002
Эпоха 198, ошибка: 0.00406679496603002, скорость обучения: 0.03486784401000002
Эпоха 199, ошибка: 0.004066794954577143, скорость обучения: 0.03486784401000002
Эпоха 200, ошибка: 0.004066794951378648, скорость обучения: 0.03486784401000002
Эпоха 201, ошибка: 0.0040667949504852915, скорость обучения: 0.03486784401000002
Эпоха 202, ошибка: 0.004066794950235507, скорость обучения: 0.03486784401000002
Эпоха 203, ошибка: 0.004066794950165868, скорость обучения: 0.03486784401000002
Эпоха 204, ошибка: 0.004066794950146188, скорость обучения: 0.03486784401000002
Эпоха 205, ошибка: 0.004066794950140495, скорость обучения: 0.03486784401000002
Эпоха 206, ошибка: 0.004066794950139082, скорость обучения: 0.03486784401000002
Эпоха 207, ошибка: 0.004066794950138642, скорость обучения: 0.03486784401000002
Эпоха 208, ошибка: 0.004066794950138497, скорость обучения: 0.03486784401000002
Эпоха 209, ошибка: 0.004066794950138579, скорость обучения: 0.03486784401000002
Эпоха 210, ошибка: 0.004066794950138579, скорость обучения: 0.03486784401000002
Эпоха 211, ошибка: 0.004066794950138579, скорость обучения: 0.03486784401000002
Эпоха 212, ошибка: 0.004066794950138579, скорость обучения: 0.03486784401000002
Эпоха 213, ошибка: 0.004066794950138579, скорость обучения: 0.03138105960900001
Эпоха 214, ошибка: 0.004066086143479817, скорость обучения: 0.03138105960900001
Эпоха 215, ошибка: 0.004018100618226919, скорость обучения: 0.03138105960900001
Эпоха 216, ошибка: 0.004002541847561962, скорость обучения: 0.03138105960900001
Эпоха 217, ошибка: 0.003997479150854325, скорость обучения: 0.03138105960900001
Эпоха 218, ошибка: 0.003995829874652862, скорость обучения: 0.03138105960900001
Эпоха 219, ошибка: 0.003995292385526077, скорость обучения: 0.03138105960900001
Эпоха 220, ошибка: 0.0039951171993945125, скорость обучения: 0.03138105960900001
Эпоха 221, ошибка: 0.003995060097924934, скорость обучения: 0.03138105960900001
Эпоха 222, ошибка: 0.003995041485603286, скорость обучения: 0.03138105960900001
Эпоха 223, ошибка: 0.003995035418859046, скорость обучения: 0.03138105960900001
Эпоха 224, ошибка: 0.003995033441381765, скорость обучения: 0.03138105960900001
Эпоха 225, ошибка: 0.003995032796816124, скорость обучения: 0.03138105960900001
Эпоха 226, ошибка: 0.003995032586717453, скорость обучения: 0.03138105960900001
Эпоха 227, ошибка: 0.0039950325182349766, скорость обучения: 0.03138105960900001
Эпоха 228, ошибка: 0.003995032495913346, скорость обучения: 0.03138105960900001
Эпоха 229, ошибка: 0.003995032488637388, скорость обучения: 0.03138105960900001
Эпоха 230, ошибка: 0.003995032486265217, скорость обучения: 0.03138105960900001
Эпоха 231, ошибка: 0.003995032485492224, скорость обучения: 0.03138105960900001
Эпоха 232, ошибка: 0.003995032485239811, скорость обучения: 0.03138105960900001
Эпоха 233, ошибка: 0.003995032485157443, скорость обучения: 0.03138105960900001
Эпоха 234, ошибка: 0.0039950324851308755, скорость обучения: 0.03138105960900001
Эпоха 235, ошибка: 0.0039950324851223615, скорость обучения: 0.03138105960900001
Эпоха 236, ошибка: 0.0039950324851192555, скорость обучения: 0.03138105960900001
Эпоха 237, ошибка: 0.003995032485118138, скорость обучения: 0.03138105960900001
Эпоха 238, ошибка: 0.003995032485117909, скорость обучения: 0.03138105960900001
Эпоха 239, ошибка: 0.003995032485117723, скорость обучения: 0.03138105960900001
Эпоха 240, ошибка: 0.0039950324851177055, скорость обучения: 0.03138105960900001
Эпоха 241, ошибка: 0.003995032485117688, скорость обучения: 0.03138105960900001
Эпоха 242, ошибка: 0.003995032485117623, скорость обучения: 0.03138105960900001
Эпоха 243, ошибка: 0.003995032485117599, скорость обучения: 0.03138105960900001
Эпоха 244, ошибка: 0.003995032485117626, скорость обучения: 0.03138105960900001
Эпоха 245, ошибка: 0.003995032485117595, скорость обучения: 0.03138105960900001
Эпоха 246, ошибка: 0.003995032485117559, скорость обучения: 0.03138105960900001
Эпоха 247, ошибка: 0.003995032485117532, скорость обучения: 0.03138105960900001
Эпоха 248, ошибка: 0.0039950324851175546, скорость обучения: 0.03138105960900001
Эпоха 249, ошибка: 0.003995032485117597, скорость обучения: 0.03138105960900001
Эпоха 250, ошибка: 0.003995032485117569, скорость обучения: 0.03138105960900001
Эпоха 251, ошибка: 0.003995032485117557, скорость обучения: 0.03138105960900001
